,use_category,use_subcategory,skintype,brand_generic,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,treatments and serums,face serum,Unknown,non_generic,SUNDAY RILEY,Good Genes All-In-One Lactic Acid Treatment,1,85,"Multi-tasking, targeted lactic acid treatment rapidly exfoliates and boosts naturally youthful radiance, while visibly reducing the look of lines, wrinkles and dark spots. High potency, purified grade lactic acid exfoliates dull, pore-clogging dead skin cells, to instantly clarify and reveal smoother, clearer skin. Together with skin brightening licorice, this super-concentrated treatment visually reduces the look of dark spots, age spots, and discoloration caused by exposure to the sun, for naturally brighter, even-toned skin.

Clinically proven to immediately and significantly plump fine lines and boost radiance in just 3 minutes.","Aqua, Opuntia Tuna Fruit Extract, Cypripedium Pubescens Extract, Opuntia Vulgaris Leaf Extract, Agave Tequilana Leaf Extract, Arnica Montana Flower Extract, Aloe Barbadensis Leaf Extract, Saccharomyces Cerevisiae (Yeast) Extract, Leuconostoc/Radish Root Ferment Filtrate], Caprylic/Capric Triglyceride, Squalane, Lactic Acid, PPG-12 / SMDI Copolymer, Propanediol, Butylene Glycol, Stearic Acid, Dimethicone, Cetearyl Alcohol, Phenyl Trimethicone, Disiloxane, Ceteareth-20, Glyceryl Stearate, PEG-100 Stearate, Stearyl Glycyrrhetinate, Glycyrrhiza Glabra Root Extract, Cymbopogon Schoenanthus (Lemongrass) Oil, Potassium Hydroxide, Phenoxyethanol, Xanthan gum, Caprylyl Glycol, Chlorphenesin, Sodium Phytate.",4.1,64,104,https://www.ulta.com/good-genes-all-in-one-lactic-acid-treatment?productId=pimprod2007866,1
1,treatments and serums,face serum,Unknown,non_generic,SUNDAY RILEY,A+ High-Dose Retinoid Serum,1,85,"Sunday Riley A+ High-Dose Retinoid Serum combines 5% retinoid ester blend, 1% liposomal-encapsulated retinol blend, and 0.5% blue-green algae with natural, retinoid-alternative activity, this serum fights the signs of aging and improves the look of congested and UV damaged skin. Encapsulated CoQ10 helps to improve the appearance of aging or damaged skin, while rare, Hawaiian white honey, bisabolol, cactus extract, and ginger balance and soothe the skin for the appearance of a calmer, even-toned complexion.","Water/Eau/Aqua, Dimethyl Isosorbide, Propanediol, Triheptanoin, Dimethicone, Glycerin, Pentylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Disiloxane, Hexyldecanol, Diheptyl Succinate, Propylene Carbonate, Phenyl Trimethicone, PPG-24-Glycereth-24, Hydroxypinacolone Retinoate, Sodium Acrylates Copolymer, Helianthus Annuus (Sunflower) Seed Oil, Honey Extract, Opuntia Ficus-Indica (Prickly Pear) Fruit Extract, Bisabolol, Butyrospermum Parkii (Shea) Butter, Retinol, Sodium Hyaluronate Crosspolymer, Ubiquinone, Zingiber Officinale (Ginger) Extract, Tocopherol, Hydrogenated Polyisobutene, Lecithin, 1,2-Hexanediol, 4-t-Butylcyclohexanol, Caprylyl Glycol, Phospholipids, Polyglyceryl-10 Stearate, Sorbitol, Cetylhydroxyproline Palmitamide, Polysilicone-11, Benzoic Acid, Dehydroacetic Acid, Capryloyl Glycerin/Sebacic Acid Copolymer, Sodium Phytate, Phenoxyethanol, Glyceryl Polyacrylate, Alcohol, Polysorbate 20, Saccharomyces Cerevisiae (Yeast) Extract, Brassica Campestris Sterols, Hydroxyphenyl Propamidobenzoic Acid, Stearic Acid, PVP, Sodium Benzoate, Potassium Phosphate, Benzyl Alcohol, Decyl Glucoside, Algae Extract, Hexylene Glycol, Tocopherol, Potassium Sorbate",4.4,74,30,https://www.ulta.com/a-high-dose-retinoid-serum?productId=pimprod2007849,1
2,treatments and serums,face serum,Unknown,non_generic,SUNDAY RILEY,C.E.O. 15% Vitamin C Brightening Serum,1,85,"Sunday Riley C.E.O. Vitamin C Brightening Serum uses a sophisticated, ultra-powerful form of Vitamin C called THD Ascorbate. Both highly stable and oil-soluble, THD Ascorbate rapidly absorbs into the skin for visible anti-aging benefits, including visual improvement in loss of firmness, the appearance of lines and wrinkles, and dark spots and dullness.

This hydrating antioxidant formula instantly illuminates the complexion with bright radiance, while phytosterols help to reduce the look of skin sensitivity. Saccharide Isomerate extract diminishes the appearance of pores and reinforces the skin's moisture barrier for a skin-smoothing glow. Rapidly brighten the appearance of the skin and boost vital skin bounce, in a flash!","Water/ Eau/ Aqua, Tetrahexyldecyl Ascorbate, Squalane, Polyglyceryl-6 Distearate, PEG-8 Beeswax, Limonene, Citrus Aurantium Dulcis (Sweet Orange) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Glycine Soja (Soybeans) Sterols, PPG-12/SMDI Copolymer, Sodium Phytate, Tocopherol, Phenoxyethanol, Acetamidoethoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Jojoba Esters, Glycolic Acid, Caprylyl Glycol, Cetyl Alcohol, Polyglyceryl-3 Beeswax, Chlorphenesin, Glycerin, Polysorbate 60, Sorbitan Isostearate, Saccharide Isomerate, Linalool",3.8,0,43,https://www.ulta.com/ceo-15-vitamin-c-brightening-serum?productId=pimprod2007847,1
3,cleanser,face wash,Unknown,Aveeno_generic,Aveeno,Aveeno Positively Radiant Brightening & Exfoliating Face Scrub,5,8.99,placeholder,"water, glycerin, sodium laureth sulfate, cellulose, lauryl glucoside, peg-16 soy sterol, acrylates/ c10-30 alkyl acrylate crosspolymer, phenoxyethanol, glycol distearate, methylparaben, laureth-4, butylene glycol, fragrance, sodium hydroxide, disodium edta, cocamidopropyl betaine, glycine soja (soybean) protein, citric acid",4.2,0,419,https://www.cvs.com/shop/aveeno-positively-radiant-skin-brightening-daily-scrub-5-oz-prodid-1020071,1
4,cleanser,face wash,Unknown,Aveeno_generic,Beauty 360,Beauty 360 Illuminating Facial Scrub,5,7.49,placeholder,"Water, Glycerin, Sodium Laureth Sulfate, Polylactic Acid, Lauryl Glucoside, PEG-16 Soy Sterol, Hydrolyzed Soy Protein, Carbomer, Phenoxyethanol, Glycol Distearate, Cocamidopropyl Betaine, Ethylhexylglycerin, Butylene Glycol, Fragrance, Laureth-4, Sodium Hydroxide, Tetrasodium EDTA",4.4,0,8,https://www.cvs.com/shop/beauty-360-illuminating-facial-scrub-5-oz-prodid-1016031,1
5,cleanser,toner,Unknown,CC_generic,Clean and Clear,Clean & Clear Essentials Deep Cleaning Toner Sensitive Skin,8,7.29,placeholder,"active ingredient: salicylic acid 0.5%, water, sd alcohol 40-b, glycerin, isoceteth-20, peg-32, sodium citrate, fragrance, propylene glycol, dimethicone propyl pg-betaine, benzophenone-4, algae extract, aloe barbadensis leaf extract, blue 1",4,0,64,https://www.cvs.com/shop/clean-clear-essentials-deep-cleaning-toner-sensitive-skin-8-oz-prodid-1020112,1
6,cleanser,toner,Unknown,CC_generic,CVS,CVS Oil Controlling Astringent Sensitive Skin,8,5.99,placeholder,"Active Ingredient: Salicylic Acid (0.5%), Water, Alcohol Denat, Isopropyl Alcohol, Hamamelis Virginiana (Witch Hazel), Water, Glycerin, Alcohol, Menthol, Benzophenone-4, Polysorbate 60, Citric Acid, Sodium Citrate, Sodium Hydroxide, Disodium EDTA, Fragrance, Yellow 5, Blue 1",3.5,0,13,https://www.cvs.com/shop/cvs-oil-controlling-astringent-sensitive-skin-8-oz-prodid-1016067,1
7,cleanser,face wash,Unknown,StIves_generic,St. Ives,"St. Ives Fresh Skin Face Scrub, Apricot",6,3.48,placeholder,"Water (Aqua), Juglans Regia (Walnut) Shell Powder, Glyceryl Stearate, Glycerin, Sodium Lauryl Sulfoacetate, Zea Mays (Corn) Kernel Meal, Cocamidopropyl Betaine, Cetearyl Alcohol, Cetyl Alcohol, PEG-100 Stearate, Cetyl Acetate, Polysorbate 60, Ceteareth-20, Acetylated Lanolin Alcohol, Triethanolamine, Fragrance (Parfum), Carbomer, PPG-2 Methyl Ether, Phenethyl Alcohol, Methylisothiazolinone, Prunus Armeniaca (Apricot) Fruit Extract, Titanium Dioxide (CI 77891)",4.7,0,628,https://www.amazon.com/St-Ives-Fresh-Scrub-Apricot/dp/B00J4GRLGM/ref=psdc_11061161_t2_B07RWNKDRV,1
8,cleanser,face wash,Unknown,StIves_generic,Mountain falls,Mountain Falls Invigorating Apricot Scrub Facial Cleanser,6,3.89,placeholder,"Water, Juglans regia (walnut) shell powder, glyceryl stearate, glycerin, decyl glucoside, Zea mays (corn) kernel meal, cetearyl alcohol, cetyl alcohol, cocamidopropyl betaine, PEG-100 stearate, cetyl acetate, polysorbate 60, ceteareth-20, acetylated lanolin alcohol, triethanolamine, fragrance, carbomer, PPG-2 methyl ether, phenethyl alcohol, methylisothiazolinone, Prunus armeniaca (apricot) fruit extract, titanium dioxide",4.3,0,99,https://www.amazon.com/Mountain-Falls-Invigorating-Apricot-Cleanser/dp/B07RWNKDRV/ref=sr_1_10?dchild=1&keywords=mountain+falls&qid=1602770018&sr=8-10,1
9,moisturizer,face moisturizer,Unknown,BB_generic,Banana boat,"Banana Boat Ultra Sport Sunscreen Lotion, Broad Spectum SPF 30",8,7.59,placeholder,"Active Ingredients: Avobenzone 1.5%, Homosalate 15.0%, Octisalate 5.0%, Octocrylene 1.2%, Oxybenzone 6.0%, Water, Hydrogenated Dimer Dilinoleyl/Dimethylcarbonate Copolymer, Stearyl Alcohol, Glycerin, Caprylyl Glycol, Cetyl Alcohol, Triethanolamine, Carbomer, Glyceryl Stearate, Behenyl Alcohol, Xanthan Gum, Sodium Lauroyl Sarcosinate, Disodium EDTA, Dipropylene Glycol, BHT, Disodium Ethylene Dicocamide PEG-15 Disulfate, Glyceryl Stearate Citrate, Cetearyl Alcohol, Sodium Lauroyl Lactylate, Retinyl Palmitate, Tocopheryl Acetate, Lecithin, Aloe Barbadensis Leaf Juice, Phenoxyethanol, Methyldibromo Glutaronitrile, Methylisothiazolinone, Methylchloroisothiazolinone",4.7,0,1851,https://www.amazon.com/Banana-Boat-Sunscreen-Performance-Spectrum/dp/B0033ZL5YY/ref=sr_1_8?crid=2OUKZCQ0RYHZ5&dchild=1&keywords=banana+boat+sport&qid=1602776108&s=beauty&sprefix=banana+boat+sport%2Cbeauty%2C166&sr=1-8,1
10,moisturizer,face moisturizer,Unknown,BB_generic,Mountain falls,"Mountain Falls Active Sport Sunscreen Lotion, SPF 50 Broad Spectrum UVA/UVB Protection",8,5.56,placeholder,"Active ingredients: Avobenzone 3%, Homosalate 11.7%, Octisalate 4.5%, Octocrylene 4.5%, Oxybenzone 5.4%, water, propylene glycol, neopentyl glycol diheptanoate, styrene/acrylates copolymer, benzyl alcohol, tocopherol, triethanolamine, acrylates/C10-30 alkyl acrylate crosspolymer, oleth-3, polyamide-8, chlorphenesin, sodium ascorbyl phosphate, disodium EDTA",4.4,0,85,https://www.amazon.com/Mountain-Falls-Sunscreen-Spectrum-Protection/dp/B078FHHB5X?th=1,1
11,moisturizer,face moisturizer,Unknown,Cetaphil_cream_generic,Solimo,Amazon Brand - Solimo Ultra Moisturizing Skin Cream for Dry & Sensitive Skin,16,7.39,placeholder,"Water, glycerin, petrolatum, dicaprylyl ether, dimethicone, glyceryl stearate, cetyl alcohol, Prunus amygdalus dulcis (sweet almond) oil, PEG-30 glyceryl stearate, tocopheryl acetate, acrylates/C10-30 alkyl acrylate crosspolymer, dimethiconol, benzyl alcohol, phenoxyethanol, glyceryl acrylate/acrylic acid copolymer, disodium EDTA, sodium hydroxide",4.5,0,1319,https://www.amazon.com/Amazon-Brand-Moisturizing-Sensitive-Dermatologist/dp/B07SWHLG2G/ref=sr_1_1?dchild=1&keywords=solimo%2Bskincare&qid=1602770081&sr=8-1&th=1,1
12,moisturizer,face moisturizer,Unknown,Cetaphil_cream_generic,Cetaphil,Cetaphil Fragrance Free Moisturizing Cream,16,9.59,placeholder,"Water, Polyglycerylmethacrylate (and) Propylene Glycol, Petrolatum, Dicaprylyl Ether, PEG-5 Glyceryl Stearate, Glycerin, Dimethicone (and) Dimethiconol, Cetyl Alcohol, Sweet Almond Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Phenoxyethanol, Benzyl Alcohol, Disodium EDTA, Sodium Hydroxide, Lactic Acid",4.8,0,4169,https://www.amazon.com/Cetaphil-Moisturizing-Cream-Sensitive-Fragrance/dp/B000FKHS9Q/ref=sr_1_5?dchild=1&keywords=cetaphil%2Bcream%2Bin%2Bthe%2Btub&qid=1602776553&sr=8-5&th=1,1
13,cleanser,face wash,Unknown,Cetaphil_cleanser_generic,Solimo,"Amazon Brand - Solimo Daily Facial Cleanser, Normal to Oily Skin",8,4.44,placeholder,"Water, sodium lauroyl sarcosinate, glycerin, PEG-200 hydrogenated glyceryl palmate, acrylates/steareth-20 methacrylate copolymer, PEG-7 gylceryl cocoate, sodium laureth sulfate, butylene glycol, sodium salicylate, fragrance, panthenol, disodium EDTA, PEG-60 hydrogenated castor oil, citric acid, sodium benzoate",4.3,0,867,https://www.amazon.com/Amazon-Brand-Solimo-Facial-Cleanser/dp/B07PHTY5K9/ref=sr_1_2?dchild=1&keywords=solimo%2Bskincare&qid=1602770081&sr=8-2&th=1,1
14,cleanser,face wash,Unknown,Cetaphil_cleanser_generic,Cetaphil,Cetaphil Daily Facial Cleanser,8,6.33,placeholder,"Water (Purified), Sodium Lauroyl Sarcosinate, Acrylates/Steareth 20 Methacrylate Crosspolymer, Glycerin, PEG 200 Hydrogenated Glyceryl Palmate, Sodium Laureth Sulfate, Butylene Glycol, PEG 7 Glyceryl Cocoate, Phenoxyethanol, Masking Fragrance (Parfum), Panthenol, PEG 60 Hydrogenated Castor Oil, Disodium EDTA, Methylparaben",4.7,0,644,https://www.amazon.com/Cetaphil-Daily-Facial-Cleanser-Normal/dp/B001ET73JM/ref=sr_1_5?dchild=1&keywords=daily%2Bfacial%2Bcleanser&qid=1602776961&s=beauty&sr=1-5&th=1,1